source,file_path,json_path,value
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.image_level.ap,34.99833984569629
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.pixel_level.auroc,66.06904880619055
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.pixel_level.pro,27.71956321130486
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.pixel_level.ap,1.8944560113995448
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.n_samples,74
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_threshold,0.1142302080988884
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.thresholded.pixel_threshold,0.9240046739578247
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_accuracy,29.72972972972973
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_precision,24.242424242424242
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_recall,88.88888888888889
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.thresholded.image_f1,38.095238095238095
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,clean.thresholded.pixel_accuracy,95.58656295716716
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.image_level.auroc,49.702380952380956
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.image_level.f1_max,42.62295040365493
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.image_level.ap,28.961937329327185
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.pixel_level.auroc,58.6906182480581
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.pixel_level.pro,22.905518534608724
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.pixel_level.ap,1.2736089655921425
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.n_samples,74
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_threshold,0.1142302080988884
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.thresholded.pixel_threshold,0.9240046739578247
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_accuracy,25.675675675675674
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_precision,24.65753424657534
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_recall,100.0
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.thresholded.image_f1,39.56043956043956
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,noisy.thresholded.pixel_accuracy,93.23707885223068
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,delta.image_auroc,-7.93650793650793
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,delta.image_f1_max,-0.23419207144711152
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,delta.image_ap,-6.036402516369108
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,delta.pixel_auroc,-7.37843055813245
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,delta.pixel_pro,-4.814044676696135
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,delta.pixel_ap,-0.6208470458074022
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,delta.image_accuracy,-4.054054054054056
ablations,05_results/ablations/ablation_m1_tiny/lora_no_consistency/noise_eval/robustness_report.json,delta.image_f1,1.465201465201467
